Country,% Access,Total water withdrawal per capita (mÂ³ per person per year)
Afghanistan,36.227999622465084,1355.4333333333334
Albania,95.7500022927767,464.7333333333333
Algeria,88.37692290598588,161.85714285714286
American Samoa,97.98472596802713,
Andorra,100.0,
Angola,46.45384597688709,41.07333333333333
Antigua and Barbuda,97.7269958704824,102.48666666666668
Argentina,96.68076906328656,907.3666666666667
Armenia,94.8624988281411,905.8
Aruba,94.94619682228034,
Australia,100.0,925.86
Austria,100.0,452.81666666666666
Azerbaijan,76.66153863456155,1366.75
Bahamas,97.2434688144338,
Bahrain,98.42308366558427,402.6
Bangladesh,77.761538483234,231.0
Barbados,97.99229277148905,241.9333333333333
Belarus,99.55384523089272,176.84
Belgium,100.0,689.36
Belize,87.78458361255183,249.95
Benin,68.05000043208344,20.865000000000002
Bhutan,86.5730826270674,454.5
Bolivia,80.34615366119336,197.85000000000002
Bosnia and Herzegovina,98.12692281677859,86.33999999999999
Botswana,94.79230729652448,86.1225
Brazil,93.99999999685777,310.925
British Virgin Islands,94.86120816597796,
Brunei,,288.2
Bulgaria,99.67692369490739,1036.7857142857142
Burkina Faso,64.18076966780363,47.912499999999994
Burundi,72.49230813584191,29.895
Cambodia,47.51923023677908,159.1
Cameroon,64.2076920202064,41.586666666666666
Canada,99.79999998700347,1391.8
Cape Verde,84.95831961861582,59.965
Cayman Islands,94.73906594018182,
Central African Republic,63.6423109233457,13.817333333333332
Chad,45.88461533034528,69.79666666666667
Chile,95.45384579428445,1824.0
China,82.63461538461539,423.29999999999995
Colombia,90.10000002685071,218.7
Comoros,90.10001188857922,17.38
Congo,58.251110747886266,13.7925
Costa Rica,95.56538128585998,488.8
Cote-d-Ivoire,78.74230769036345,78.754
Croatia,98.67307796119245,152.8
Cuba,91.96363714315852,507.40000000000003
Cyprus,100.0,238.72222222222223
Czech Republic,99.86538445649883,190.0
Denmark,100.0,190.56666666666672
Djibouti,84.03461382329111,20.979999999999997
Dominica,94.4539933267525,246.475
Dominican Republic,86.43846057377752,610.3333333333334
Ecuador,80.8307695269406,707.45
Egypt,96.47307690021981,994.225
El Salvador,83.16538330925431,241.1
Equatorial Guinea,47.43182193253449,29.89
Eritrea,51.449998983833616,120.6
Estonia,99.17307954238336,1270.1833333333334
Ethiopia,33.79230775299004,94.08
Fiji,91.5577072197897,81.15666666666668
Finland,100.0,711.7624999999999
France,100.0,558.8142857142857
French Polynesia,100.0,
Gabon,86.9863571668112,86.09333333333332
Gambia,83.98845051704247,50.019999999999996
Georgia,91.54999999015293,426.9
Germany,100.0,483.66
Ghana,73.18076884702035,41.33
Greece,99.0423075752485,662.3749999999999
Greenland,100.0,
Grenada,96.58843753089606,114.265
Guam,99.57311920594837,
Guatemala,85.42692295105157,240.9
Guinea,65.14999951397057,99.205
Guinea-Bissau,56.81538232430013,94.80666666666667
Guyana,88.29999240997402,2049.0
Haiti,60.57307694912335,144.0
Honduras,82.49615378067962,225.3
Hungary,98.51153860029643,512.0555555555555
Iceland,100.0,2080.2571428571428
India,82.91153846138155,584.4
Indonesia,79.14230772674182,458.55
Iran,94.42307697674605,1312.25
Iraq,81.81538449029823,2681.5
Ireland,96.85384935468286,237.85000000000002
Israel,100.0,392.63750000000005
Italy,100.0,818.0333333333334
Jamaica,93.51922898961222,333.15
Japan,100.0,694.6833333333334
Jordan,96.76153780106114,186.8
Kazakhstan,93.59230710091092,1515.25
Kenya,53.67307685934021,73.25999999999999
Kiribati,59.62296839146563,
Kuwait,98.99999826087394,383.15
Kyrgyzstan,80.81153719352507,1889.0
Laos,56.06818145610673,588.0
Latvia,98.58461699849288,127.25999999999999
Lebanon,91.12272678828846,358.425
Lesotho,79.45768909773065,28.064999999999998
Liberia,66.82727106266596,50.895
Libya,71.20000132979105,759.6625
Lithuania,92.0192351763605,732.225
Luxembourg,100.0,108.63624999999999
Macedonia,99.32307821501543,456.8333333333334
Madagascar,40.31538491722022,1013.9666666666667
Malawi,66.8846158700685,101.37666666666667
Malaysia,94.73846183953977,394.72499999999997
Maldives,95.96154111235336,16.924999999999997
Mali,51.803846416184875,272.7
Malta,99.96538498790915,114.81166666666668
Marshall Islands,93.39998909325041,
Mauritania,44.865390638368496,470.0
Mauritius,99.44230801547668,508.26000000000005
Mexico,89.80769228404799,701.88
Micronesia,89.95381060314023,
Moldova,85.98333395192422,353.35
Monaco,100.0,176.94
Mongolia,58.438457835558715,195.9
Montenegro,98.24444814491682,257.9
Morocco,79.54230797181808,439.0571428571429
Mozambique,42.9615381346124,46.98
Myanmar,69.47307690328552,694.45
Namibia,80.63077378490203,144.8
Nauru,94.59006691003289,
Nepal,79.3307694834292,377.2
Netherlands,100.0,583.9285714285714
New Caledonia,96.2500047849279,
New Zealand,100.0,814.5600000000001
Nicaragua,80.31923180288663,265.65
Niger,46.28846148041728,63.465
Nigeria,54.65384616506809,73.9375
North Korea,99.84615380843253,359.1
Northern Mariana Islands,95.9577871675061,
Norway,100.0,551.4
Oman,86.04230905217871,570.8
Pakistan,88.9538461768345,1440.5
Palau,92.78593543106366,
Palestine,82.25999886550548,96.91
Panama,90.01153906381163,277.0
Papua New Guinea,36.38461429518333,54.7
Paraguay,76.99615582299269,192.65
Peru,80.87307685607288,452.9
Philippines,87.82692306921906,868.15
Poland,96.34615389121298,348.3666666666667
Portugal,98.31153885717723,935.7333333333332
Puerto Rico,93.59999828346702,1108.5
Qatar,99.43333929819,550.425
Romania,88.14615365648093,563.86
Russia,95.24230772591392,
Russian Federation,,467.59999999999997
Rwanda,67.75769374223607,17.57
Saint Kitts and Nevis,98.30014134982746,290.8
Samoa,94.33839694995353,
Sao Tome and Principe,85.84549196799811,53.8
Saudi Arabia,95.27692315872224,942.85
Senegal,69.24615310688756,206.2
Serbia,99.33846045713821,444.3666666666666
Seychelles,95.6999317064678,157.25
Sierra Leone,49.703845314305994,60.85999999999999
Singapore,100.0,81.97
Slovakia,99.88461456696086,160.06
Slovenia,99.57692062025436,481.17499999999995
Solomon Islands,80.22496719675462,
Somalia,25.794736709539936,307.4666666666667
South Africa,87.6923078811463,301.45
South Korea,94.04545462571808,565.4000000000001
South Sudan,58.679999773537716,59.92
Spain,99.9500000280741,931.8000000000001
Sri Lanka,82.48846153846154,628.9
St-Lucia,94.52306356216285,252.1
St-Vincent and the Grenadines,93.22321865838019,85.11
Sudan,60.83600005392801,714.1
Suriname,91.47274189792542,1268.3333333333333
Swaziland,56.52306880241331,995.5
Sweden,100.0,374.1444444444445
Switzerland,100.0,368.15714285714284
Syria,87.99230819989398,797.6500000000001
Tajikistan,64.265216219115,1828.3333333333333
Tanzania,54.63846151403996,144.6
Thailand,92.97307687928756,863.7
Timor,61.54286677732456,1148.0
Togo,55.173076952379866,29.54
Tonga,98.84997002835311,
Trinidad and Tobago,93.6423105317903,257.575
Tunisia,91.0807685569884,288.0857142857143
Turkey,93.82307700640874,587.325
Turkmenistan,59.630769357288955,5550.666666666667
Turks and Caicos Islands,87.04542640519577,
Tuvalu,94.68068371071055,
Uganda,60.3961540915864,16.843333333333334
Ukraine,97.09090905145645,385.55
United Arab Emirates,99.66538515037749,777.575
United Kingdom,100.0,199.51428571428573
United States,98.85384616571883,1945.6
United States Virgin Islands,100.0,
Uruguay,97.26922830018142,668.2
Uzbekistan,88.55652142829543,2331.3333333333335
Vanuatu,78.81157035707612,
Venezuela,91.33461542225312,502.79999999999995
Vietnam,80.696153798886,776.6999999999999
Yemen,59.482608566874966,188.73333333333335
Zambia,56.03076843476894,173.16666666666666
Zimbabwe,78.75769226658579,
